index,year,month,day,rain,tmax,tmin,srad,Tmean,district
298,2017,10,26,0.5,23.0,10.8,21.9,16.9,Debre markos
299,2017,10,27,0.2,22.7,10.8,21.4,16.75,Debre markos
300,2017,10,28,1.5,22.6,11.0,20.9,16.8,Debre markos
301,2017,10,29,1.7,23.1,10.6,22.3,16.85,Debre markos
302,2017,10,30,0.0,23.6,9.4,24.7,16.5,Debre markos
303,2017,10,31,0.0,22.9,7.8,25.7,15.35,Debre markos
304,2017,11,1,0.0,22.9,7.2,26.1,15.049999999999999,Debre markos
305,2017,11,2,0.0,22.8,7.5,25.8,15.15,Debre markos
306,2017,11,3,0.0,22.9,7.9,25.5,15.399999999999999,Debre markos
307,2017,11,4,0.0,22.8,8.9,24.3,15.850000000000001,Debre markos
308,2017,11,5,0.0,23.7,9.7,24.3,16.7,Debre markos
309,2017,11,6,0.0,23.3,10.1,23.3,16.7,Debre markos
310,2017,11,7,0.0,24.2,10.4,24.0,17.3,Debre markos
311,2017,11,8,0.0,24.1,10.6,23.6,17.35,Debre markos
312,2017,11,9,0.0,23.5,10.1,23.6,16.8,Debre markos
313,2017,11,10,0.0,23.8,9.5,24.6,16.65,Debre markos
314,2017,11,11,0.0,23.0,8.7,24.6,15.85,Debre markos
315,2017,11,12,0.0,22.6,8.3,24.6,15.450000000000001,Debre markos
316,2017,11,13,0.0,23.1,8.5,25.0,15.8,Debre markos
317,2017,11,14,0.0,22.6,7.8,25.0,15.200000000000001,Debre markos
318,2017,11,15,0.0,22.8,8.7,24.2,15.75,Debre markos
319,2017,11,16,0.0,22.6,9.0,23.7,15.8,Debre markos
320,2017,11,17,0.0,22.4,9.3,23.0,15.85,Debre markos
321,2017,11,18,0.0,22.8,8.7,24.3,15.75,Debre markos
322,2017,11,19,0.0,23.6,10.1,23.4,16.85,Debre markos
323,2017,11,20,0.2,21.7,10.1,20.7,15.899999999999999,Debre markos
324,2017,11,21,0.0,22.5,10.0,22.1,16.25,Debre markos
325,2017,11,22,0.0,23.2,9.9,23.1,16.55,Debre markos
326,2017,11,23,0.0,24.0,9.5,24.7,16.75,Debre markos
327,2017,11,24,0.0,22.9,9.7,23.0,16.299999999999997,Debre markos
328,2017,11,25,0.2,21.6,10.5,19.7,16.05,Debre markos
329,2017,11,26,1.2,21.7,9.8,20.9,15.75,Debre markos
330,2017,11,27,0.5,21.1,10.0,19.6,15.55,Debre markos
331,2017,11,28,0.0,22.6,9.4,22.9,16.0,Debre markos
332,2017,11,29,0.0,22.8,8.6,24.2,15.7,Debre markos
333,2017,11,30,0.0,21.9,7.7,24.1,14.799999999999999,Debre markos
334,2017,12,1,0.0,22.4,6.1,26.0,14.25,Debre markos
335,2017,12,2,0.0,22.9,5.6,26.6,14.25,Debre markos
336,2017,12,3,0.0,23.5,6.0,26.6,14.75,Debre markos
337,2017,12,4,0.0,23.4,7.4,25.8,15.399999999999999,Debre markos
338,2017,12,5,0.0,24.6,7.8,26.3,16.2,Debre markos
339,2017,12,6,0.0,24.3,7.4,26.3,15.850000000000001,Debre markos
340,2017,12,7,0.0,24.4,9.0,25.2,16.7,Debre markos
341,2017,12,8,0.0,24.3,8.5,25.6,16.4,Debre markos
342,2017,12,9,0.0,24.8,10.1,24.6,17.45,Debre markos
343,2017,12,10,0.0,23.7,9.5,24.1,16.6,Debre markos
344,2017,12,11,0.0,23.4,7.9,25.3,15.649999999999999,Debre markos
345,2017,12,12,0.0,23.7,7.6,25.7,15.649999999999999,Debre markos
346,2017,12,13,0.0,23.1,6.7,25.9,14.9,Debre markos
347,2017,12,14,0.0,23.4,6.1,26.5,14.75,Debre markos
348,2017,12,15,0.0,23.3,7.4,25.6,15.350000000000001,Debre markos
349,2017,12,16,0.0,23.7,6.4,26.4,15.05,Debre markos
350,2017,12,17,0.0,23.3,5.4,26.7,14.350000000000001,Debre markos
351,2017,12,18,0.0,23.4,5.3,26.8,14.35,Debre markos
352,2017,12,19,0.0,24.1,4.0,27.4,14.05,Debre markos
353,2017,12,20,0.0,24.3,2.9,27.6,13.6,Debre markos
354,2017,12,21,0.0,25.1,3.8,27.6,14.450000000000001,Debre markos
355,2017,12,22,0.0,23.4,1.6,27.7,12.5,Debre markos
356,2017,12,23,0.0,23.9,2.7,27.6,13.299999999999999,Debre markos
357,2017,12,24,0.0,23.5,3.8,27.3,13.65,Debre markos
358,2017,12,25,0.0,24.1,1.3,27.8,12.700000000000001,Debre markos
359,2017,12,26,0.0,24.5,2.5,27.7,13.5,Debre markos
360,2017,12,27,0.0,24.0,1.0,27.8,12.5,Debre markos
361,2017,12,28,0.0,23.6,2.5,27.6,13.05,Debre markos
362,2017,12,29,0.0,23.5,1.0,27.8,12.25,Debre markos
363,2017,12,30,0.0,23.3,1.4,27.7,12.35,Debre markos
364,2017,12,31,0.0,23.7,2.1,27.7,12.9,Debre markos
365,2018,1,1,0.0,23.5,3.1,27.6,13.3,Debre markos
366,2018,1,2,0.0,23.9,4.1,27.4,14.0,Debre markos
367,2018,1,3,0.0,23.0,4.1,27.2,13.55,Debre markos
368,2018,1,4,0.0,23.0,3.1,27.5,13.05,Debre markos
369,2018,1,5,0.0,23.7,4.5,27.3,14.1,Debre markos
370,2018,1,6,0.0,23.3,2.6,27.7,12.950000000000001,Debre markos
371,2018,1,7,0.0,23.4,4.2,27.4,13.799999999999999,Debre markos
372,2018,1,8,0.0,23.3,5.9,26.7,14.600000000000001,Debre markos
373,2018,1,9,0.0,23.2,5.2,27.0,14.2,Debre markos
374,2018,1,10,0.0,23.6,7.7,25.8,15.65,Debre markos
375,2018,1,11,0.0,23.9,8.2,25.7,16.049999999999997,Debre markos
376,2018,1,12,0.0,23.2,9.0,24.3,16.1,Debre markos
377,2018,1,13,0.0,21.8,9.1,22.4,15.45,Debre markos
378,2018,1,14,0.0,21.1,8.0,22.9,14.55,Debre markos
379,2018,1,15,0.3,22.9,7.0,25.9,14.95,Debre markos
380,2018,1,16,0.0,22.2,8.7,23.5,15.45,Debre markos
381,2018,1,17,0.0,22.1,9.2,22.6,15.65,Debre markos
382,2018,1,18,0.0,23.6,9.4,24.5,16.5,Debre markos
383,2018,1,19,0.0,23.3,8.6,24.9,15.95,Debre markos
